symptom,disease
"I've been dealing with burping, bloating, sour taste in mouth, regurgitation of food plus trouble with swallowing and I'm worried.",acidity
Lately I've had bloating along with regurgitation of food.,acidity
"My problem is burping, regurgitation of food, sour taste in mouth and trouble with swallowing rly bad",acidity
"Doctor, I'm dealing with burping, trouble with swallowing, sour taste in mouth, regurgitation of food and bloating and it's getting worse.",acidity
"I've been dealing with sour taste in mouth, regurgitation of food, bloating and trouble with swallowing and it's getting worse.",acidity
"Doctor, I'm dealing with regurgitation of food combined with sour taste in mouth and I'm worried.",acidity
"Lately I've had trouble with swallowing, sour taste in mouth as well as burping for a while now.",acidity
"These days I've been having bloating, sour taste in mouth, regurgitation of food, trouble with swallowing and also burping.",acidity
I have burping combined with regurgitation of food.,acidity
I keep feeling bloating and sour taste in mouth.,acidity
"I've been having regurgitation of food, burning in chest, burping, bloating, sour taste in mouth plus the urge to vomit recently.",acidity
"I've been dealing with burning in chest, regurgitation of food, sour taste in mouth and burping and it's getting worse.",acidity
"I keep feeling burping, bloating, sour taste in mouth and burning in chest.",acidity
"Lately I've had regurgitation of food, burping, burning in chest, bloating and sour taste in mouth and I don't know what to do.",acidity
"I have burping, sour taste in mouth, bloating, burning in chest, feeling sick to my stomach plus regurgitation of food nd I'm worried.",acidity
"My problem is sour taste in mouth, bloating, queasiness, regurgitation of food, burning in chest plus burping.",acidity
"I've been dealing with sour taste in mouth, burping and bloating.",acidity
"Lately I've had sour taste in mouth, upset stomach, bloating and burning in chest recently.",acidity
"Recently I've been having burping, regurgitation of food, queasiness, sour taste in mouth, burning in chest and also bloating recently.",acidity
"Doctor, I've been experiencing burning in chest, sour taste in mouth plus regurgitation of food.",acidity
"I'm suffering from burping, sour taste in mouth along with burning in chest and I'm worried.",acidity
"I'm suffering from sour taste in mouth, burning in chest plus burping and I'm worried.",acidity
"I've been experiencing burping, sour taste in mouth plus burning in chest and I'm worried.",acidity
"I've been dealing with burning in chest, burping combined with sour taste in mouth and I'm worried.",acidity
"I keep having burning in chest, burping and sour taste in mouth.",acidity
"I feel sour taste in mouth, burning in chest and burping.",acidity
"I keep having kinda burning in chest, burping and sour taste in mouth.",acidity
"I feel burping, sour taste in mouth, also burning in chest.",acidity
"I've been dealing with burning in chest, burping along with sour taste in mouth and it's getting worse.",acidity
"Recently I've been having burning in chest, burping and sour taste in mouth for a while now tbh",acidity
"I wanted to tell you about trouble with swallowing, regurgitation of food as well as sour taste in mouth and I don't know what to do.",acidity
"I keep getting burning in chest, trouble with swallowing, regurgitation of food and sour taste in mouth.",acidity
I wanted to tell you about sour taste in mouth and burning in chest and I don't know what to do.,acidity
"I feel regurgitation of food, burning in chest and trouble with swallowing and it's getting worse.",acidity
"Lately I've been dealing with regurgitation of food, also burning in chest and I'm worried.",acidity
"I keep having regurgitation of food, sour taste in mouth, trouble with swallowing and burning in chest and I'm worried.",acidity
"Recently I've been having sour taste in mouth, regurgitation of food, burning in chest and trouble with swallowing since a few days.",acidity
"I'm going through burning in chest, regurgitation of food, sour taste in mouth and trouble with swallowing recently.",acidity
"Recently I've been having a bit trouble with swallowing, burning in chest and sour taste in mouth.",acidity
I keep having feels like trouble with swallowing plus regurgitation of food since a few days.,acidity
"Recently I've been dealing with queasiness, also sour taste in mouth and I'm worried.",acidity
"I feel regurgitation of food, sour taste in mouth and burning in chest and I don't know what to do.",acidity
"Recently I've started having sour taste in mouth, the urge to vomit and burning in chest.",acidity
I feel sour taste in mouth combined with regurgitation of food for a while now.,acidity
"I keep feelin sour taste in mouth, regurgitation of food, feeling sick to my stomach and burning in chest recently.",acidity
"Recently I've been having sour taste in mouth, feeling sick to my stomach plus burning in chest.",acidity
"Doctor, I'm dealing with regurgitation of food, sour taste in mouth, also feelin sick to my stomach.",acidity
I've been experiencing sour taste in mouth n burning in chest and I don't know what to do.,acidity
"Recently I've been having queasiness, sour taste in mouth, regurgitation of food and burning in chest since a few days.",acidity
"I have burning in chest, upset stomach and sour taste in mouth and I'm worried.",acidity
"I keep feeling watery eyes, skin breaking out in rash, trouble with breathing, sneezing, fluid coming from nose and also itchy eyes recently.",allergy
"I feel fluid coming from nose, red skin rash, watery eyes and puffiness for a while now.",allergy
"I've been going through rash all over my skin, puffiness plus sneezing for a while now.",allergy
"I keep feeling skin breaking out in rash, itchy eyes, constant nasal drip, my body looks swollen, trouble with breathing, sneezing and watery eyes and I'm worried.",allergy
"I keep noticing my body looks swollen, fluid coming from nose, watery eyes, sneezing, skin breaking out in rash, itchy eyes plus trouble with breathing and I don't know what to do.",allergy
"Been having trouble with breathing, itchy eyes, skin breaking out in rash, constant nasal drip plus sneezing since a few days.",allergy
"I wanted to tell you about red skin rash, sneezing, itchy eyes, trouble with breathing, my body looks swollen and constant nasal drip.",allergy
"Lately I've had watery eyes, nose keeps running, my body looks swollen and itchy eyes and I don't know what to do.",allergy
"Doctor, I'm dealing with watery eyes, fluid coming from nose, sneezing, my body looks swollen, skin breaking out in rash, trouble with breathing plus itchy eyes since a few days.",allergy
"I wanted to tell you about constant nasal drip, swollen area, sneezing, trouble with breathing plus skin breaking out in rash since a few days.",allergy
I have red skin rash combined with itchy eyes.,allergy
"I've been dealing with itchy eyes, watery eyes and rash all over my skin.",allergy
"I wanted to tell you about itchy eyes, nose keeps running as well as watery eyes.",allergy
"I've been experiencing skin breaking out in rash, itchy eyes, sneezing and watery eyes and I'm worried.",allergy
"I've been experiencing sneezing, itchy eyes as well as rash all over my skin and it's getting worse.",allergy
"I've been dealing with nose keeps running, itchy eyes, sneezing and watery eyes recently.",allergy
"I have itchy eyes, nose keeps running and sneezing and it's getting worse.",allergy
"I wanted to tell you about sneezing, watery eyes, skin breaking out in rash, itchy eyes and constant nasal drip.",allergy
"I keep having nose keeps running, watery eyes combined with sneezing and it's getting worse.",allergy
"Been having constant nasal drip, sneezing, itchy eyes, watery eyes and also red skin rash for a while now.",allergy
"I've been struggling with sneezing, nose keeps running and swollen area.",allergy
"Been having itchy eyes, trouble with breathing, sneezing and fluid coming from nose and I don't know what to do.",allergy
"I feel sneezing, fluid coming from nose, puffiness, trouble with breathing and also itchy eyes for a while now.",allergy
"Recently I've been experiencing trouble with breathing, sneezing, nose keeps running, swollen area and also itchy eyes.",allergy
"I keep noticing sneezing, itchy eyes, nose keeps running and trouble with breathing recently.",allergy
"I have trouble with breathing, nose keeps running, itchy eyes and my body looks swollen.",allergy
"I have nose keeps running, itchy eyes and visible swelling.",allergy
"Lately I've had visible swelling, trouble with breathing, itchy eyes, nose keeps running plus sneezing since a few days.",allergy
"Doctor, I'm struggling with sneezing and constant nasal drip.",allergy
I keep having sneezing combined with trouble with breathing n it's getting worse.,allergy
"Doctor, I'm dealing with constant nasal drip, itchy eyes, visible swelling, sneezing and watery eyes and I don't know what to do.",allergy
"I'm troubled by watery eyes, fluid coming from nose, itchy eyes and rash all over my skin and it's getting worse.",allergy
"Been having sneezing, nose keeps running, watery eyes and skin breaking out in rash.",allergy
"Been having sneezing, nose keeps running, watery eyes and skin breaking out in rash.",allergy
"Been having sneezing, visible swelling, constant nasal drip and itchy eyes recently.",allergy
"I feel fluid coming from nose, itchy eyes, also rash all over my skin recently.",allergy
"I feel sneezing, rash all over my skin and watery eyes.",allergy
"Over the past few days I've noticed sneezing, watery eyes, skin breaking out in rash, visible swelling, fluid coming from nose and itchy eyes for a while now.",allergy
"I've been dealing with watery eyes, itchy eyes, visible swelling and sneezing and it's getting worse.",allergy
"I've been experiencing fluid coming from nose, rash all over my skin combined with watery eyes.",allergy
I have puffiness combined with skin breaking out in rash.,allergy
"My problem is swollen area, trouble with breathing along with rash all over my skin and I'm worried.",allergy
"I feel skin breaking out in rash, nose keeps running, itchy eyes, trouble with breathing and my body looks swollen.",allergy
"Recently I've been having nose keeps running, itchy eyes combined with red skin rash and I don't know what to do.",allergy
"Doctor, I'm dealing with red skin rash, trouble with breathing, itchy eyes and fluid coming from nose.",allergy
"I have trouble with breathing, also nose keeps running for a while now.",allergy
Recently I've been having red skin rash combined with visible swelling.,allergy
"I feel my body looks swollen, skin breaking out in rash, trouble with breathing, itchy eyes and constant nasal drip.",allergy
"I keep feeling visible swelling, nose keeps running, itchy eyes, trouble with breathing and skin breaking out in rash.",allergy
I have nose keeps running plus trouble with breathing and it's getting worse.,allergy
"I wanted to tell you about mood changes, poor judgment, trouble with speaking, mental cloudiness and also can't remember things and I don't know what to do.",alzheimer's disease
"Lately I've had disorientation, mood changes, forgetting things a lot, feeling confused, poor judgment plus trouble with speaking.",alzheimer's disease
"I keep having mood changes, trouble with memory, mind feels foggy, poor judgment nd also disorientation and I'm worried.",alzheimer's disease
"Doctor, I've been having feeling confused, mood changes, disorientation and can't remember things and I'm worried.",alzheimer's disease
"I've been experiencing mood changes, poor judgment, mental cloudiness, disorientation, trouble with speaking and bad memory lately recently.",alzheimer's disease
"Doctor, I'm dealing with disorientation, can't think straight combined with trouble with memory since a few days.",alzheimer's disease
"Been having mental cloudiness, disorientation combined with can't remember things and it's getting worse.",alzheimer's disease
"Lately I've had disorientation, mental cloudiness plus can't remember things for a while now.",alzheimer's disease
"I keep experiencing a bit can't think straight, disorientation along with forgetting things a lot.",alzheimer's disease
"I wanted to tell you about trouble with memory, can't think straight as well as disorientation.",alzheimer's disease
"My problem is poor judgment, can't think straight, disorientation, trouble with speaking, mood changes plus trouble with thinking and it's getting worse.",alzheimer's disease
"I have trouble with thinking, trouble with speaking, disorientation, poor judgment and also mind feels foggy and I'm worried.",alzheimer's disease
"The issue I'm facing is disorientation, trouble with thinking, can't think straight, trouble with speaking, mood changes and poor judgment since a few days.",alzheimer's disease
"I keep feelin trouble with speaking, trouble with thinking, poor judgment and disorientation.",alzheimer's disease
"I've been experiencing poor judgment, trouble with thinking, disorientation, feeling confused and also trouble with speaking.",alzheimer's disease
"For a while now I've had poor judgment, bad memory lately, mental cloudiness, disorientation and also trouble with thinking.",alzheimer's disease
"I wanted to tell you about poor judgment, mood changes, trouble with thinking and bad memory lately for a while now.",alzheimer's disease
"Recently I've been having disorientation, trouble with thinking plus bad memory lately.",alzheimer's disease
"Lately I've had trouble with thinking, bad memory lately, can't think straight, poor judgment, mood changes and disorientation and it's getting worse.",alzheimer's disease
"I wanted to tell you about mood changes, trouble with thinking, trouble with memory, mental cloudiness plus disorientation recently.",alzheimer's disease
"I wanted to tell you about poor judgment, disorientation combined with trouble with memory and it's getting worse.",alzheimer's disease
"I keep feelin mood changes, forgetting things a lot, poor judgment, disorientation plus trouble with thinking.",alzheimer's disease
"I've been dealing with a bit mood changes, bad memory lately, disorientation, poor judgment and also trouble with thinking for a while now.",alzheimer's disease
"My problem is trouble with thinking, disorientation, mood changes, poor judgment and forgetting things a lot.",alzheimer's disease
"I've been experiencing trouble with memory, disorientation, mood changes, trouble with thinking and poor judgment recently.",alzheimer's disease
"Recently I've been having body feels like jelly, exhaustion, pallor, dizzy spells plus cold limbs.",anemia
"I have feeling really weak, tiredness, feeling unsteady, my hands and feet are always cold and breathlessness and it's getting worse.",anemia
"I'm suffering from always tired, cold limbs and trouble catching my breath since a few days.",anemia
"I've been dealing with low energy, a spinning feeling, cold limbs and pallor recently.",anemia
"My problem is body feels like jelly, pallor, trouble catching my breath and dizzy spells.",anemia
"What's bothering me is drained complexion, a spinning feeling as well as tiredness.",anemia
"I feel pallor, exhaustion and dizzy spells.",anemia
"I keep feeling my skin looks pale, dizzy spells plus tiredness.",anemia
"I feel feeling drained, lightheadedness as well as I look really pale.",anemia
"I wanted to tell you about dizzy spells, my skin looks pale along with always tired recently.",anemia
"My problem is always tired, body feels like jelly as well as wooziness since a few days.",anemia
"I keep experiencing breathlessness, no strength at all along with a spinning feeling since a few days.",anemia
"My problem is wooziness, tiredness, general weakness, my skin looks pale and also getting winded easily.",anemia
"Doctor, I'm dealing with tiredness, lightheadedness, also I look really pale and I'm worried.",anemia
"Been having feeling drained, my skin looks pale along with breathlessness.",anemia
"I have I look really pale, low energy, feeling unsteady, constant headaches and general weakness and it's getting worse.",anemia
"I feel cold limbs, my skin looks pale, wooziness, throbbing head pain, feelin completely worn out plus body feels like jelly.",anemia
"Doctor, I'm dealing with terrible head pain, lightheadedness, general weakness and always tired.",anemia
"I keep feeling always tired, no strength at all, pallor and extremities feel icy and it's getting worse.",anemia
"Doctor, I'm dealing with tiredness, feeling really weak, terrible head pain, lightheadedness, my hands and feet are always cold plus drained complexion.",anemia
"I keep having feeling unsteady, no strength at all, tiredness and cold limbs recently.",anemia
I've been dealing with dizzy spells and feeling drained and it's getting worse.,anemia
"Been having tiredness, feeling really weak and my hands and feet are always cold and I don't know what to do.",anemia
"I have my hands and feet are always cold, body feels like jelly, exhaustion and wooziness since a few days.",anemia
I have extremities feel icy along with dizzy spells.,anemia
"Doctor, I'm dealing with feeling sick to my stomach plus trouble in the bathroom recently.",appendicitis
I keep having trouble in the bathroom along with can't eat properly and I don't know what to do.,appendicitis
"I keep feelin tummy ache, trouble in the bathroom, upset stomach and not feeling hungry at all since a few days.",appendicitis
"I have gut pain, not feelin hungry at all as well as hard stools and it's getting worse.",appendicitis
I have trouble in the bathroom and the urge to vomit since a few days.,appendicitis
"I'm suffering from upset stomach, not feeling hungry at all, swollen area, trouble in the bathroom, running a temperature, stomach cramps and also puking and I'm worried.",appendicitis
"I've been experiencing feeling feverish, no desire to eat, can't pass stool and feeling sick to my stomach recently.",appendicitis
"My problem is feeling feverish, can't eat properly, been sick multiple times and pain in my belly.",appendicitis
"I'm dealing with hard stools, tummy ache, swollen area, queasiness, been sick multiple times and high temperature since a few days.",appendicitis
"I keep having my body looks swollen, feeling feverish, pain in my belly, throwing up, feeling sick to my stomach, not feeling hungry at all and also hard stools since a few days.",appendicitis
"I've been dealing with throwing up, pain in my belly combined with visible swelling.",appendicitis
"My problem is puking, visible swelling and pain in my belly.",appendicitis
"I keep feeling visible swelling, puking and pain in my belly since a few days.",appendicitis
"I've been experiencing feels like gut pain, swollen area and puking and I don't know what to do.",appendicitis
"I have visible swelling, gut pain and vomiting a lot.",appendicitis
"I've been having hard stools, puking, tummy ache, lost my appetite and visible swelling.",appendicitis
"I keep having pain in my belly, throwing up, lost my appetite, my body looks swollen and can't go to the bathroom recently.",appendicitis
"My problem is feeling sick to my stomach, not feeling hungry at all, can't pass stool, been sick multiple times plus swollen area.",appendicitis
"I feel lost my appetite, trouble in the bathroom, puking, tummy ache and also feelin sick to my stomach.",appendicitis
"Lately I've had tummy ache, swollen area, hard stools, not feeling hungry at all, queasiness plus vomiting a lot and I don't know what to do.",appendicitis
"I've been experiencing trouble in the bathroom, feeling feverish, can't eat properly, gut pain and also been sick multiple times.",appendicitis
